Filename:  C:\Users\fisic\Desktop\Estudo espectrometria na calibração\31_07_2025\120kv_4mmAl_200mu_360s.mca
Description:  
TimeStamp:  07/31/2025 18:48:38

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	396
9	411
10	469
11	420
12	424
13	398
14	411
15	481
16	433
17	442
18	412
19	428
20	413
21	460
22	449
23	401
24	437
25	522
26	486
27	575
28	710
29	838
30	811
31	893
32	913
33	1095
34	1057
35	1127
36	1169
37	1197
38	1226
39	1207
40	1147
41	1144
42	1215
43	1233
44	1238
45	1216
46	1227
47	1206
48	1214
49	1246
50	1211
51	1261
52	1225
53	1233
54	1282
55	1263
56	1240
57	1245
58	1241
59	1326
60	1248
61	1286
62	1265
63	1258
64	1260
65	1226
66	1357
67	1285
68	1260
69	1276
70	1389
71	1361
72	1314
73	1274
74	1267
75	1272
76	1220
77	1226
78	1282
79	1286
80	1296
81	1279
82	1230
83	1297
84	1287
85	1294
86	1254
87	1290
88	1208
89	1230
90	1283
91	1313
92	1178
93	1191
94	1254
95	1225
96	1263
97	1229
98	1276
99	1219
100	1167
101	1151
102	1180
103	1205
104	1203
105	1185
106	1201
107	1193
108	1276
109	1149
110	1167
111	1147
112	1171
113	1127
114	1190
115	1113
116	1197
117	1137
118	1137
119	1152
120	1141
121	1224
122	1053
123	1172
124	1099
125	1141
126	1103
127	1140
128	1106
129	1167
130	1188
131	1176
132	1139
133	1194
134	1205
135	1125
136	1146
137	1186
138	1177
139	1195
140	1183
141	1236
142	1277
143	1296
144	1322
145	1283
146	1317
147	1260
148	1340
149	1449
150	1415
151	1492
152	1518
153	1533
154	1497
155	1615
156	1654
157	1700
158	1794
159	1747
160	1916
161	1884
162	1911
163	1984
164	2098
165	2141
166	2125
167	2098
168	2135
169	2303
170	2277
171	2254
172	2383
173	2519
174	2538
175	2537
176	2582
177	2732
178	2708
179	2874
180	2956
181	2943
182	3024
183	3080
184	3096
185	3295
186	3280
187	3378
188	3429
189	3387
190	3615
191	3555
192	3623
193	3664
194	3774
195	3771
196	3967
197	3783
198	3828
199	3786
200	3871
201	3732
202	3847
203	3873
204	3850
205	4028
206	4061
207	4096
208	4009
209	4241
210	4410
211	4559
212	4457
213	4527
214	4509
215	4438
216	4689
217	4501
218	4644
219	4708
220	4748
221	4744
222	4869
223	4997
224	4821
225	5159
226	5232
227	5308
228	5357
229	5403
230	5349
231	5273
232	5489
233	5623
234	5388
235	5731
236	5721
237	5835
238	5730
239	5322
240	5288
241	5366
242	5208
243	5373
244	5267
245	5414
246	5651
247	5682
248	5599
249	5527
250	5569
251	5460
252	5491
253	5640
254	5665
255	5615
256	5776
257	5895
258	6179
259	6302
260	6339
261	6070
262	5977
263	6029
264	6037
265	5917
266	6315
267	6623
268	7047
269	7079
270	7016
271	6637
272	6218
273	6108
274	6062
275	6186
276	5997
277	6043
278	6035
279	6347
280	6144
281	6244
282	6247
283	6185
284	6350
285	6097
286	6136
287	6265
288	6213
289	6291
290	6399
291	6319
292	6321
293	6381
294	6427
295	6474
296	6368
297	6430
298	6287
299	6339
300	6415
301	6433
302	6331
303	6416
304	6419
305	6599
306	6692
307	6269
308	6450
309	6593
310	6406
311	6544
312	6418
313	6391
314	6304
315	6329
316	6487
317	6426
318	6587
319	6543
320	6319
321	6395
322	6456
323	6505
324	6615
325	6640
326	6645
327	6815
328	6583
329	6728
330	6599
331	6414
332	6441
333	6509
334	6562
335	6408
336	6440
337	6370
338	6435
339	6351
340	6435
341	6356
342	6424
343	6373
344	6448
345	6378
346	6269
347	6329
348	6324
349	6243
350	6284
351	6233
352	6353
353	6242
354	6238
355	6298
356	6279
357	6324
358	6302
359	6141
360	6326
361	6378
362	6367
363	6131
364	6211
365	6099
366	6137
367	6286
368	6288
369	6150
370	6214
371	6055
372	6029
373	6074
374	6045
375	6198
376	6130
377	6188
378	6069
379	6020
380	6042
381	6077
382	6111
383	5978
384	6113
385	6117
386	6110
387	6075
388	6107
389	6032
390	5901
391	6020
392	6009
393	6057
394	5896
395	6027
396	5975
397	6015
398	5990
399	6039
400	5867
401	5869
402	5787
403	5893
404	5937
405	5878
406	5878
407	5870
408	5762
409	5892
410	5805
411	5877
412	5907
